num_ants,num_iterations,pheromone_decay,alpha,beta,avg_fitness,avg_max_fitness,avg_min_fitness,avg_fitness_percentage,avg_unscheduled_surgeries,avg_remaining_room_time,avg_remaining_surgeon_time
20,10,0.5,1,4,185.8,192.0,183.0,92.01334141904184,2.4,953.6,3353.6
20,10,0.5,1,6,187.2,192.0,180.0,91.76470588235294,2.2,985.8,3385.8
20,10,0.5,3,2,183.4,186.0,180.0,90.82171012734992,2.2,1022.6,3422.6
20,10,0.5,3,4,179.6,186.0,171.0,89.83323226197696,2.6,1003.2,3403.2
20,10,0.5,3,6,187.6,195.0,182.0,92.88053365676167,2.4,926.2,3326.2
20,10,0.5,5,2,188.6,198.0,183.0,94.35112189205579,1.8,876.6,3276.6
20,10,0.5,5,4,183.4,188.0,177.0,90.85203153426319,2.4,999.8,3399.8
20,10,0.5,5,6,183.4,189.0,177.0,90.80654942389329,3.0,942.0,3342.0
20,20,0.1,1,2,187.6,192.0,182.0,92.88053365676167,2.0,890.4,3290.4
20,20,0.1,1,4,188.8,198.0,183.0,93.48392965433597,2.4,894.2,3294.2
20,20,0.1,1,6,182.8,189.0,177.0,90.55791388720438,2.2,971.8,3371.8
20,20,0.1,3,2,187.6,189.0,183.0,92.91085506367497,2.2,967.4,3367.4
20,20,0.1,3,4,185.8,189.0,182.0,91.9981807155852,1.8,914.2,3314.2
20,20,0.1,3,6,187.0,192.0,180.0,92.61673741661613,1.8,939.0,3339.0
20,20,0.1,5,2,190.2,195.0,180.0,93.23529411764704,2.0,878.8,3278.8
20,20,0.1,5,4,185.2,186.0,182.0,91.70406306852638,2.6,934.8,3334.8
20,20,0.1,5,6,191.4,198.0,186.0,93.82352941176471,1.8,859.2,3259.2
20,20,0.3,1,2,189.6,198.0,186.0,92.94117647058825,1.6,875.2,3275.2
20,20,0.3,1,4,189.0,192.0,186.0,92.64705882352942,1.8,887.0,3287.0
20,20,0.3,1,6,187.6,192.0,186.0,92.91085506367496,2.2,902.6,3302.6
20,20,0.3,3,2,187.2,192.0,180.0,91.76470588235294,2.6,941.4,3341.4
20,20,0.3,3,4,187.6,192.0,180.0,92.91085506367494,2.2,951.2,3351.2
20,20,0.3,3,6,189.4,195.0,182.0,93.76288659793815,1.8,906.2,3306.2
20,20,0.3,5,2,186.6,192.0,180.0,91.47058823529412,2.0,972.2,3372.2
20,20,0.3,5,4,189.6,195.0,186.0,92.94117647058823,2.0,913.2,3313.2
20,20,0.3,5,6,184.8,189.0,183.0,90.58823529411765,2.6,1010.8,3410.8
20,20,0.5,1,2,189.0,192.0,186.0,92.6470588235294,2.2,900.0,3300.0
20,20,0.5,1,4,186.2,192.0,182.0,93.14432989690721,1.8,924.6,3324.6
20,20,0.5,1,6,190.0,192.0,186.0,94.08732565191025,1.2,825.8,3225.8
20,20,0.5,3,2,184.8,189.0,180.0,90.58823529411765,3.0,1025.2,3425.2
20,20,0.5,3,4,185.4,189.0,180.0,90.88235294117648,2.4,965.6,3365.6
20,20,0.5,3,6,186.4,192.0,183.0,92.30745906610068,2.2,941.6,3341.6
20,20,0.5,5,2,189.0,195.0,186.0,92.64705882352942,2.0,946.4,3346.4
20,20,0.5,5,4,185.6,194.0,177.0,92.88053365676168,2.0,944.4,3344.4
20,20,0.5,5,6,187.0,189.0,180.0,92.61673741661613,2.2,910.4,3310.4
20,30,0.1,1,2,186.6,189.0,183.0,91.47058823529413,2.2,914.4,3314.4
20,30,0.1,1,4,188.4,192.0,186.0,92.35294117647058,2.0,872.8,3272.8
20,30,0.1,1,6,187.8,192.0,183.0,92.05882352941175,2.2,951.4,3351.4
20,30,0.1,3,2,190.0,198.0,183.0,94.08732565191025,1.8,856.8,3256.8
20,30,0.1,3,4,186.6,192.0,183.0,91.47058823529412,2.6,991.8,3391.8
20,30,0.1,3,6,189.6,192.0,186.0,92.94117647058825,2.4,902.0,3302.0
20,30,0.1,5,2,191.2,198.0,183.0,94.6755609460279,1.8,853.0,3253.0
20,30,0.1,5,4,190.0,194.0,183.0,94.11764705882352,1.8,898.4,3298.4
20,30,0.1,5,6,187.0,194.0,183.0,92.64705882352942,1.8,935.2,3335.2
20,30,0.3,1,2,196.8,204.0,186.0,96.47058823529412,1.2,792.4,3192.4
20,30,0.3,1,4,190.0,192.0,188.0,94.08732565191023,1.6,909.6,3309.6
20,30,0.3,1,6,191.6,198.0,188.0,95.82171012734992,1.4,842.0,3242.0
20,30,0.3,3,2,189.4,192.0,186.0,93.79320800485144,1.6,875.0,3275.0
20,30,0.3,3,4,190.2,204.0,186.0,93.23529411764706,2.0,887.8,3287.8
20,30,0.3,3,6,188.2,192.0,186.0,93.22013341419043,2.0,898.2,3298.2
20,30,0.3,5,2,193.2,198.0,189.0,94.70588235294119,1.4,846.4,3246.4
20,30,0.3,5,4,186.4,192.0,182.0,92.29229836264402,2.0,917.8,3317.8
20,30,0.3,5,6,190.2,198.0,186.0,93.23529411764707,1.8,877.8,3277.8
20,30,0.5,1,2,188.4,195.0,183.0,92.35294117647058,2.2,920.0,3320.0
20,30,0.5,1,4,188.4,192.0,186.0,92.35294117647058,2.0,1002.8,3402.8
20,30,0.5,1,6,193.2,198.0,186.0,94.70588235294119,2.0,883.8,3283.8
20,30,0.5,3,2,190.8,204.0,186.0,93.52941176470588,2.2,907.2,3307.2
20,30,0.5,3,4,188.8,192.0,186.0,93.4990903577926,1.6,912.6,3312.6
20,30,0.5,3,6,186.8,192.0,182.0,93.43844754396605,1.8,897.6,3297.6
20,30,0.5,5,2,190.2,192.0,186.0,93.23529411764706,1.8,884.2,3284.2
20,30,0.5,5,4,188.8,192.0,186.0,93.4990903577926,2.0,898.0,3298.0
20,30,0.5,5,6,190.6,198.0,186.0,94.38144329896907,1.6,872.0,3272.0
30,10,0.1,1,2,187.8,192.0,183.0,92.05882352941177,2.0,905.4,3305.4
30,10,0.1,1,4,186.6,189.0,183.0,91.47058823529412,2.8,976.0,3376.0
30,10,0.1,1,6,188.4,195.0,180.0,92.35294117647058,2.0,908.2,3308.2
30,10,0.1,3,2,186.6,194.0,180.0,94.33596118859916,1.4,916.4,3316.4
30,10,0.1,3,4,186.0,195.0,180.0,91.17647058823529,2.4,961.0,3361.0
30,10,0.1,3,6,186.0,192.0,183.0,91.17647058823529,3.2,950.0,3350.0
30,10,0.1,5,2,186.6,195.0,180.0,91.47058823529413,2.2,978.8,3378.8
30,10,0.1,5,4,184.6,192.0,177.0,91.40994542146755,2.6,1008.8,3408.8
30,10,0.1,5,6,186.8,192.0,182.0,93.4232868405094,2.2,963.8,3363.8
30,10,0.3,1,2,186.0,192.0,182.0,93.96604002425713,1.6,919.4,3319.4
30,10,0.3,1,4,187.2,192.0,186.0,91.76470588235294,2.0,948.0,3348.0
30,10,0.3,1,6,185.2,186.0,183.0,91.71922377198302,2.2,984.0,3384.0
30,10,0.3,3,2,187.0,189.0,182.0,92.58641600970284,2.8,949.0,3349.0
30,10,0.3,3,4,186.6,189.0,186.0,91.47058823529412,2.6,915.2,3315.2
30,10,0.3,3,6,187.8,192.0,183.0,92.05882352941177,2.6,951.8,3351.8
30,10,0.3,5,2,188.4,192.0,186.0,92.35294117647058,1.8,952.6,3352.6
30,10,0.3,5,4,188.2,192.0,183.0,93.20497271073377,1.6,911.6,3311.6
30,10,0.3,5,6,184.0,186.0,180.0,91.11582777440873,2.0,936.0,3336.0
30,10,0.5,1,2,192.6,204.0,183.0,94.41176470588235,1.6,829.8,3229.8
30,10,0.5,1,4,187.8,195.0,180.0,92.05882352941175,2.2,935.0,3335.0
30,10,0.5,1,6,185.6,192.0,179.0,92.80473013947847,2.0,924.0,3324.0
30,10,0.5,3,2,191.8,204.0,186.0,94.96967859308673,1.4,842.2,3242.2
30,10,0.5,3,4,185.2,189.0,179.0,91.68890236506972,2.6,949.0,3349.0
30,10,0.5,3,6,184.2,192.0,180.0,90.29411764705883,2.4,963.4,3363.4
